S. No,State/UT,District,Coordinates,A.Murder (Sec.302 IPC),A. Culpable Homicide not amounting to Murder (Sec.304 IPC),A. Causing Death by Negligence,A. Hurt,A. Assault on Women with Intent to Outrage her Modesty,A. Kidnapping and Abduction,B. Offences against State,C. Rioting (Sec.1470151 IPC),D. Theft (Section 379 IPC),D. Burglary (Sec.454 to 460 r/w Sec.380 IPC),D. Dacoity,D. Others,E. Counterfeiting,"E. Forgery, Cheating & Fraud",E. Offences Relating to Documents & Property Marks (Total),F. Offences relating to Elections (Sec.171-E to 171-I r/w IPC/SLL),F. Disobedience to order duly promulgated by Public Servant (Sec.188),F. Harbouring an Offender (Sec.212/216/216A IPC),F. Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),F. Rash Driving on Public way,F. Others,F. Miscellaneous,Other IPC Crimes,Total Cognizable IPC crimes
339,Karnataka,Mysuru City,"12.3333° N, 76.6667° E",23,1,443,850,115,839,0,83,890,261,86,730,0,367,177,0,24,0,1,1103,118,712,11,2268
340,Karnataka,Mysuru District,"12.3333° N, 76.6667° E",57,2,1176,2381,465,1926,0,426,906,466,64,760,0,238,119,1,7,0,0,1926,303,1274,247,4203
341,Karnataka,Raichur,"15.0000° N, 77.0000° E",36,4,1013,767,462,1129,0,670,684,116,10,432,0,216,108,17,6,0,1,860,189,675,169,2598
342,Karnataka,K.Railways,"12.9727° N, 77.5917° E",18,0,19,42,8,61,0,2,1528,2,43,808,2,14,8,0,0,0,0,2,8,9,8,889
343,Karnataka,Ramanagara,"13.2500° N, 77.8333° E",55,2,873,1742,339,1491,0,158,864,286,66,656,0,350,175,2,6,0,0,1628,233,1055,70,3243
344,Karnataka,Shimoga,"13.9167° N, 75.2500° E",37,2,1066,2192,599,1966,0,753,786,376,102,701,2,371,181,0,2,0,0,1962,285,1268,12,4068
345,Karnataka,Tumakuru,"13.9167° N, 77.8333° E",70,2,1927,2383,355,2324,0,320,956,470,111,853,4,421,200,1,6,0,0,2937,217,1737,26,4813
346,Karnataka,Udupi,"13.2500° N, 74.8333° E",10,1,618,667,128,640,0,142,206,168,13,221,2,202,101,1,0,0,0,1642,165,987,373,2284
347,Karnataka,Uttara Kannada,"14.0000° N, 74.5000° E",19,0,641,801,264,830,0,315,218,178,18,258,2,92,42,2,1,0,0,1520,94,857,122,2078
348,Karnataka,Yadgiri,"15.6667° N, 77.0000° E",21,2,500,553,295,729,0,381,282,85,4,201,0,66,33,0,5,0,0,566,106,394,39,1412
349,Karnataka,Belagavi City,"15.2167° N, 74.5000° E",21,0,396,417,64,493,0,268,418,236,37,358,0,211,105,1,10,0,0,638,139,469,8,1438
350,Karnataka,Kalaburgi City,"16.2500° N, 75.8333° E",39,0,415,593,97,671,0,123,424,208,42,360,0,132,66,1,3,0,2,680,165,511,405,1916
351,Kerala,Alapuzha,"9.5833° N, 76.5000° E",24,5,805,3212,584,1917,0,413,294,175,76,329,2,546,273,0,1,0,0,17602,651,9513,109,12222
352,Kerala,Ernakulam Commr.,"9.9500° N, 76.2500° E",10,7,398,1488,445,1091,0,390,460,161,54,402,4,832,418,0,20,0,0,6746,358,3832,131,5934
353,Kerala,Ernakulam Rural,"10.0000° N, 76.3333° E",20,9,769,3409,680,2098,0,894,464,267,69,453,6,794,380,0,0,0,1,23033,1116,12686,114,15907
354,Kerala,Idukki,"10.1667° N, 76.6667° E",17,6,204,2743,386,1379,0,234,230,112,15,213,2,369,180,0,20,0,0,9022,288,4859,97,6726
355,Kerala,Kannur City,"11.6667° N, 75.2500° E",12,4,404,1374,217,844,0,347,114,135,21,156,2,256,129,2,0,0,0,2460,378,1643,200,3034
356,Kerala,Kasargod,"12.1667° N, 75.2500° E",11,1,297,1455,330,949,0,565,192,159,33,214,6,198,102,1,1,0,0,3456,371,2102,128,3613
357,Kerala,Kollam Commr.,"8.8333° N, 76.8333° E",13,1,532,2297,368,1383,0,631,256,147,35,241,0,348,174,0,2,0,0,5185,422,3074,75,5113
358,Kerala,Kollam Rural,"8.8333° N, 76.9167° E",28,4,540,2358,595,1516,0,306,214,136,39,215,2,406,199,0,0,0,0,11771,383,6335,262,8581
359,Kerala,Kottayam,"9.5000° N, 76.4167° E",22,3,602,2685,448,1570,0,788,282,209,56,301,2,614,289,0,0,0,0,31176,299,16058,271,18753
360,Kerala,Kozhikode Commr.,"11.2500° N, 75.7500° E",5,2,387,1563,374,1044,0,567,454,268,70,467,0,634,294,0,0,0,0,5127,502,3079,181,5139
361,Kerala,Kozhikode Rural,"11.2500° N, 75.8333° E",12,1,455,2529,584,1532,0,181,176,192,32,232,2,329,165,1,6,0,0,3852,638,2588,86,4531
362,Kerala,Malappuram,"10.8333° N, 76.1667° E",15,5,927,3128,910,2163,0,663,386,330,62,462,0,582,282,0,1,0,0,5221,778,3427,367,6750
363,Kerala,Palakkad,"10.5000° N, 76.2500° E",23,7,758,3490,548,1957,0,442,318,280,74,387,0,556,265,1,6,0,0,9940,564,5595,98,8326
364,Kerala,Pathanamthitta,"9.1667° N, 76.8333° E",13,2,395,2541,347,1325,0,1152,200,157,30,225,4,1085,540,0,0,0,0,9063,318,4926,55,7481
365,Kerala,Railways,"9.9500° N, 76.2500° E",0,0,3,60,87,69,0,2,298,1,12,166,0,2,1,0,1,0,0,0,12,13,2,244
366,Kerala,Thrissur Commr.,"10.8333° N, 76.0000° E",17,5,642,2304,341,1337,0,481,308,214,45,346,4,890,447,0,0,0,0,8498,548,4816,53,7131
367,Kerala,Thrissur Rural,"10.8333° N, 76.0833° E",17,0,504,2474,489,1415,0,393,248,152,35,250,2,631,316,0,1,0,3,5186,441,3059,225,5361
368,Kerala,Trivandrum Commr.,"8.4667° N, 76.9167° E",15,3,389,1857,341,1175,0,409,510,190,64,425,8,487,242,0,0,0,0,5975,237,3632,116,5707
369,Kerala,Trivandrum Rural,"8.4667° N, 76.9833° E",38,6,1159,3491,754,2488,0,602,512,446,92,590,2,559,274,0,1,0,0,6830,416,3851,461,7788
370,Kerala,Wayanadu,"11.0000° N, 76.0000° E",12,4,176,1362,210,773,0,537,206,104,9,180,0,244,121,1,0,0,0,1446,214,940,143,2253
371,Kerala,Crime Branch,"9.9500° N, 76.2500° E",0,0,0,3,0,5,0,0,2,1,0,6,0,55,27,0,0,0,0,0,0,0,4,38
372,Kerala,Kannur Rural,"11.6667° N, 75.2500° E",13,3,253,1050,168,621,0,143,114,134,11,136,2,241,121,1,0,0,0,1540,247,1028,88,2011
373,Madhya Pradesh,Agar,"23.2830° N, 75.8833° E",12,0,284,3135,141,1353,0,39,340,126,3,244,0,24,12,0,99,0,0,422,202,512,72,2104
374,Madhya Pradesh,Alirajpur,"22.1667° N, 74.6000° E",51,1,359,2441,64,1416,0,12,254,80,11,177,0,38,19,0,239,0,0,592,22,557,25,1980
375,Madhya Pradesh,Anuppur,"23.1333° N, 81.6667° E",41,2,440,3557,125,1968,0,21,516,221,8,399,0,135,67,0,96,0,1,483,142,499,53,2619
376,Madhya Pradesh,Ashok Nagar,"24.7167° N, 78.0833° E",30,2,429,5197,175,2372,0,41,374,184,12,298,0,44,22,0,7,0,7,748,188,576,23,3060
377,Madhya Pradesh,Balaghat,"22.0000° N, 79.6000° E",46,8,655,7527,334,3856,0,45,676,430,20,589,4,56,30,0,25,0,0,1058,502,1056,35,4936
378,Madhya Pradesh,Barwani,"21.7333° N, 74.9000° E",41,2,761,4137,165,2181,0,81,400,149,12,299,0,162,69,0,247,0,0,1146,97,917,96,3305
379,Madhya Pradesh,Betul,"21.9000° N, 77.9000° E",60,8,818,5826,78,2847,0,9,518,203,14,390,0,80,40,0,360,0,0,1250,84,1069,0,4049
380,Madhya Pradesh,Bhind,"26.4667° N, 78.7000° E",32,6,859,7271,224,3532,0,81,830,440,43,686,0,164,82,0,232,0,0,1288,261,1137,295,5374
381,Madhya Pradesh,Bhopal,"23.2500° N, 77.4000° E",65,4,1064,18111,774,9696,0,159,3888,1409,54,2804,8,1601,704,0,5437,0,4,5210,1418,9489,880,21677
382,Madhya Pradesh,Bhopal Railway,"23.2500° N, 77.4167° E",2,0,15,60,18,74,0,6,3946,14,84,2063,2,8,5,0,0,0,0,0,52,52,27,2201
383,Madhya Pradesh,Burhanpur,"21.3000° N, 76.1667° E",8,0,261,4176,227,1868,0,62,290,106,9,218,2,132,45,1,360,0,0,504,180,793,13,2764
384,Madhya Pradesh,Chhatarpur,"24.9000° N, 79.6000° E",43,0,858,1671,326,1997,0,60,962,488,22,759,4,84,40,0,117,0,1,1010,2865,3488,340,5982
385,Madhya Pradesh,Chhindwara,"22.0000° N, 78.9167° E",73,4,1121,5295,138,3037,0,36,614,130,17,388,0,52,26,0,0,0,4,1558,130,913,483,4341
386,Madhya Pradesh,Damoh,"23.8333° N, 79.5000° E",34,1,699,7614,222,3692,0,12,334,313,12,346,0,44,15,0,524,7,0,956,249,1258,0,4785
387,Madhya Pradesh,Datia,"25.6667° N, 78.5000° E",28,0,458,1149,106,910,0,26,340,136,22,275,0,99,46,0,80,0,15,490,1155,1495,27,2578
388,Madhya Pradesh,Dewas,"22.9500° N, 75.9333° E",48,1,913,11229,322,5014,0,30,1440,289,12,945,0,151,74,0,313,0,1,1855,588,1830,52,7380
389,Madhya Pradesh,Dhar,"22.5500° N, 75.5333° E",63,5,1976,10245,490,6187,0,129,1926,426,50,1278,0,159,73,0,407,0,0,2754,357,2142,66,8520
390,Madhya Pradesh,Dindori,"22.7000° N, 81.1000° E",21,4,324,3147,108,1799,0,21,124,91,2,116,0,42,21,0,132,0,0,882,167,740,64,2370
391,Madhya Pradesh,Guna,"24.7333° N, 76.8333° E",33,4,582,7526,328,3824,0,105,772,265,44,583,0,84,42,0,225,1,1,792,167,790,350,5008
392,Madhya Pradesh,Gwalior,"26.2264° N, 78.1919° E",88,21,1209,3390,635,3710,0,270,4282,1452,110,3139,2,559,271,0,632,0,17,2987,5398,7543,40,13591
393,Madhya Pradesh,Harda,"22.3000° N, 77.3000° E",18,12,325,4232,145,2076,0,33,278,140,2,215,2,52,27,0,22,0,1,500,280,553,49,2621
394,Madhya Pradesh,Hoshangabad,"22.7500° N, 78.0833° E",49,1,545,7887,273,3850,0,48,764,298,23,622,2,81,38,0,97,0,8,1186,457,1157,18,5083
395,Madhya Pradesh,Indore,"22.7167° N, 75.8667° E",81,16,1902,20430,766,11803,0,207,9604,1537,159,5853,6,1066,424,0,665,0,17,6308,983,4826,159,20420
396,Madhya Pradesh,Indore Railway,"22.7267° N, 75.8667° E",0,0,6,33,18,64,0,3,1048,7,6,534,0,6,3,0,0,0,0,8,23,28,6,609
397,Madhya Pradesh,Jabalpur,"23.1761° N, 79.9861° E",76,0,1619,19548,688,9062,0,111,2046,1028,54,1618,6,254,126,0,4276,0,9,6934,473,8225,401,18362
398,Madhya Pradesh,Jabalpur Railway,"23.1761° N, 79.9761° E",1,0,6,18,13,25,0,0,2762,4,14,1397,0,4,2,0,1,0,0,8,36,41,8,1467
399,Madhya Pradesh,Jhabua,"22.7667° N, 74.2500° E",26,3,505,250,52,855,0,36,264,84,15,192,2,36,19,0,567,0,0,1268,1334,2535,23,3278
400,Madhya Pradesh,Katni,"23.8500° N, 78.1333° E",37,2,727,7724,213,3848,0,26,706,262,18,518,0,190,94,0,475,0,16,1538,162,1422,0,5340
401,Madhya Pradesh,Khandwa,"22.2167° N, 76.6333° E",39,0,644,597,384,1419,0,57,602,228,19,444,0,117,39,0,296,0,0,1204,96,994,1786,4130
402,Madhya Pradesh,Khargone,"21.8333° N, 75.6000° E",35,5,1128,6984,317,3831,0,72,898,304,30,641,4,93,46,0,1826,0,2,1177,181,2603,107,6589
403,Madhya Pradesh,Mandla,"22.6333° N, 80.7500° E",34,3,785,456,104,1246,0,18,222,172,4,209,0,36,17,0,32,0,0,1200,823,1455,27,2430
404,Madhya Pradesh,Mandsaur,"24.0500° N, 75.0833° E",25,5,669,573,309,1207,0,96,1020,307,18,727,2,110,56,0,427,0,1,984,2603,3524,22,5143
405,Madhya Pradesh,Morena,"26.5000° N, 78.0000° E",44,3,899,6260,242,3415,0,126,1200,410,57,1180,0,242,108,0,884,0,39,1436,2435,4076,48,8249
406,Madhya Pradesh,Narsinghpur,"22.9333° N, 79.2333° E",32,3,754,4653,228,2683,0,27,372,196,16,316,0,49,23,0,95,0,0,992,154,745,0,3248
407,Madhya Pradesh,Neemuch,"24.4667° N, 75.0833° E",19,1,308,3488,101,1711,0,75,336,153,20,305,0,70,34,0,164,0,5,552,154,600,14,2432
408,Madhya Pradesh,Panna,"24.7333° N, 80.2000° E",27,1,431,1230,173,1523,0,18,412,303,11,373,0,72,24,0,242,0,0,816,1649,2299,24,3663
409,Madhya Pradesh,Raisen,"23.3333° N, 77.8333° E",42,7,630,6474,174,3719,0,42,542,252,18,444,0,138,46,0,0,0,0,1320,169,829,618,4809
410,Madhya Pradesh,Rajgarh,"23.7500° N, 76.7500° E",25,1,739,2826,352,2272,0,81,520,325,38,540,2,94,45,0,0,0,0,1240,1930,2551,633,5478
411,Madhya Pradesh,Ratlam,"23.3167° N, 75.0833° E",34,0,828,1047,226,1770,0,90,952,341,19,755,2,202,93,0,367,0,0,1922,2874,4203,63,6198
412,Madhya Pradesh,Rewa,"24.5833° N, 81.3000° E",57,4,1303,4011,194,3842,0,128,2318,1247,107,1982,2,268,120,0,203,0,0,2537,338,1814,2512,8928
413,Madhya Pradesh,Sagar,"23.8333° N, 78.7500° E",73,3,1547,16276,376,7527,0,170,894,520,29,755,0,174,87,0,1180,0,0,2342,449,2800,44,10494
414,Madhya Pradesh,Satna,"24.5833° N, 80.8333° E",58,1,1486,2062,170,2810,0,42,862,392,35,683,0,128,62,0,621,4,9,2566,2247,4167,0,6821
415,Madhya Pradesh,Seoni,"22.0833° N, 80.8333° E",33,2,943,1362,152,1538,0,36,364,168,8,289,0,93,39,0,433,0,0,1193,308,1375,781,3614
416,Madhya Pradesh,Shahdol,"23.8667° N, 81.8667° E",40,8,669,7239,174,3697,0,37,1212,409,19,835,2,150,68,0,394,0,2,844,378,1199,0,5159
417,Madhya Pradesh,Shajapur,"23.4333° N, 76.2667° E",10,0,525,4736,219,2181,0,54,440,132,7,314,0,45,22,0,100,0,0,588,206,601,36,2973
418,Madhya Pradesh,Sheopur,"26.8833° N, 76.6833° E",9,2,195,2115,69,972,0,72,268,108,9,204,0,18,9,0,128,0,0,218,77,314,51,1473
419,Madhya Pradesh,Shivpuri,"25.4333° N, 77.6833° E",58,4,894,3084,386,2577,0,75,942,413,64,797,0,138,69,0,238,0,0,1310,245,1138,2793,6722
420,Madhya Pradesh,Sidhi,"24.4000° N, 81.8667° E",28,24,1125,1435,50,1777,0,0,794,311,8,580,0,64,31,0,117,0,0,1098,95,761,0,2550
421,Madhya Pradesh,Sehore,"23.3500° N, 77.0833° E",33,4,685,1053,252,1250,0,48,874,307,36,657,0,187,91,0,2200,0,5,1444,2090,5020,19,6741
422,Madhya Pradesh,Singrauli,"24.2167° N, 82.7000° E",44,2,606,1101,112,1210,0,62,796,178,21,532,0,186,78,0,317,0,11,886,1761,2535,26,4028
423,Madhya Pradesh,Tikamgarh,"24.7500° N, 78.7500° E",23,1,471,5194,96,2469,0,42,362,121,9,254,0,52,26,0,178,0,0,462,143,552,33,3018
424,Madhya Pradesh,Ujjain,"23.2000° N, 75.8000° E",37,0,969,6843,452,3916,3,129,2212,490,70,1457,0,256,123,0,4949,0,1,2478,785,6978,2238,14051
425,Madhya Pradesh,Umaria,"23.5000° N, 80.8333° E",15,3,341,3265,120,1572,0,0,192,153,10,193,0,36,18,0,0,0,0,498,34,283,99,1990
426,Madhya Pradesh,Vidisha,"23.5333° N, 77.8333° E",41,2,775,5384,380,3170,0,39,994,455,11,818,0,95,46,0,169,0,0,1612,1320,2296,70,5790
427,Madhya Pradesh,Cyber Crime Cell,"23.2500° N, 77.4167° E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,Madhya Pradesh,Niwari,"25.1667° N, 78.8333° E",12,1,185,2337,97,1102,0,15,108,54,8,89,0,62,28,7,20,0,0,244,109,258,191,1541
429,Maharashtra,Ahmednagar,"19.0688° N, 74.7208° E",101,15,2617,7715,1566,6427,0,2469,6246,1639,422,4491,2,628,315,0,483,0,0,1578,823,2194,383,13192
430,Maharashtra,Akola,"20.7174° N, 77.0055° E",36,4,548,4346,474,2437,0,261,1630,190,47,979,0,189,87,0,5884,0,0,838,581,7055,77,10393
431,Maharashtra,Amravati Commr.,"20.5845° N, 77.7730° E",21,2,312,2197,484,1684,0,301,1680,424,66,1130,2,225,112,0,5498,0,0,1156,434,6757,139,9541
432,Maharashtra,Amravati Rural,"20.9133° N, 77.6317° E",49,3,903,4137,445,2648,0,195,1924,329,29,1179,0,256,95,0,1565,0,0,1648,507,3381,35,6915
433,Maharashtra,Aurangabad Commr.,"19.9717° N, 75.3241° E",35,5,546,3278,388,2340,0,429,2782,301,125,1717,2,657,270,1,2461,0,0,895,431,3423,25,7366
434,Maharashtra,Aurangabad Rural,"20.1826° N, 75.2927° E",41,2,1242,3180,429,2251,0,937,2142,306,73,1300,0,163,75,0,630,0,0,647,336,1354,47,5013
435,Maharashtra,Beed,"18.9301° N, 75.7748° E",59,6,1422,3927,815,2944,0,1127,2512,471,107,1615,0,506,203,0,276,0,4,678,625,1278,17,6013
436,Maharashtra,Bhandara,"21.1833° N, 79.6433° E",30,8,522,1479,185,1173,0,139,954,251,13,645,2,105,45,0,44,0,0,1163,224,1091,29,2771
437,Maharashtra,Buldhana,"20.3333° N, 76.1667° E",47,2,981,6209,820,3513,0,1069,2482,499,129,1630,0,226,100,1,2009,0,0,1610,853,4166,3,9327
438,Maharashtra,Chandrapur,"19.9667° N, 79.3000° E",48,9,1008,4107,450,2960,0,275,1786,416,58,1209,0,272,111,0,119,0,2,3187,705,3289,325,7292
439,Maharashtra,Dhule,"20.9000° N, 74.7833° E",40,6,1073,1648,148,1605,0,542,1202,397,97,927,0,188,94,0,176,0,0,801,431,1035,84,3519
440,Maharashtra,Gadchiroli,"19.9461° N, 80.2242° E",39,4,443,890,103,792,0,42,524,192,8,381,0,104,47,0,91,0,0,358,145,476,16,1555
441,Maharashtra,Gondia,"21.4667° N, 80.2167° E",30,4,455,1393,201,1141,0,113,794,227,32,553,0,122,54,0,468,0,0,970,174,1441,10,2980
442,Maharashtra,Hingoli,"20.5333° N, 77.1667° E",23,3,519,2031,184,1226,0,285,734,167,24,486,0,93,43,3,128,0,0,446,307,731,8,2445
443,Maharashtra,Jalgaon,"21.0000° N, 75.5833° E",63,7,1583,2805,608,2802,0,1318,3562,816,223,2493,4,623,273,0,433,0,6,969,671,1746,72,7208
444,Maharashtra,Jalna,"19.8333° N, 75.8333° E",54,4,1071,3732,749,2486,0,1158,2510,436,119,1608,0,589,208,0,104,0,0,556,607,1145,455,6030
445,Maharashtra,Kolhapur,"16.6936° N, 74.2389° E",50,15,1314,3462,602,3097,0,1234,3082,665,153,2105,4,432,199,0,1218,0,9,1419,451,2422,39,7548
446,Maharashtra,Latur,"18.4000° N, 76.5833° E",56,7,999,3981,303,2579,0,770,1716,397,137,1203,2,206,89,0,584,0,6,1212,514,1928,20,5664
447,Maharashtra,Mumbai Commr.,"19.0171° N, 72.8479° E",162,6,1529,13807,3651,14408,0,1088,15640,3650,964,12250,30,10768,4914,0,30843,0,84,4996,1684,35325,2318,63689
448,Maharashtra,Mumbai Railway,"19.0119° N, 72.8400° E",10,1,22,181,80,175,0,14,11678,13,625,6489,0,135,64,0,3,0,0,3,14,19,4,6712
449,Maharashtra,Nagpur Commr.,"21.1458° N, 79.0889° E",95,6,957,3580,581,3913,0,474,5180,1631,271,3780,12,1090,494,0,960,0,1,4437,908,5507,850,13312
450,Maharashtra,Nagpur Railway,"21.1542° N, 79.0833° E",0,0,4,33,17,33,0,0,1348,4,13,695,0,4,2,0,0,0,0,0,3,3,0,722
451,Maharashtra,Nagpur Rural,"21.1874° N, 79.0612° E",57,13,1076,3125,254,2215,0,125,2162,488,42,1434,2,176,75,0,136,0,0,2071,326,1911,33,5343
452,Maharashtra,Nanded,"19.1667° N, 77.3333° E",73,5,1175,5346,441,3195,0,754,2556,600,207,1843,2,226,109,0,87,0,0,1883,763,2301,46,7297
453,Maharashtra,Nandurbar,"21.3500° N, 73.3667° E",32,2,554,785,82,872,0,258,670,278,22,519,0,56,28,0,1217,0,0,526,141,1719,1688,4669
454,Maharashtra,Nasik Commr.,"20.0000° N, 73.7833° E",29,11,636,1215,136,1707,0,209,1508,428,209,1191,0,288,126,0,163,0,0,650,104,594,28,3032
455,Maharashtra,Nasik Rural,"20.1667° N, 73.7833° E",63,11,2558,4358,496,4306,0,1310,2216,538,124,1532,4,506,218,2,13757,0,0,1313,666,15096,16,20412
456,Maharashtra,Navi Mumbai,"19.0169° N, 73.0179° E",45,1,1001,1931,382,2684,0,339,3306,802,237,2498,2,1267,577,0,768,0,0,966,340,1649,66,6479
457,Maharashtra,Osmanabad,"17.8833° N, 76.5833° E",33,1,865,2562,346,1802,0,833,1484,389,58,1025,2,232,95,0,237,0,0,986,250,1102,164,4167
458,Maharashtra,Palghar,"19.6833° N, 72.7167° E",31,5,841,1078,129,1169,0,200,712,283,48,563,2,159,72,0,219,0,0,491,66,575,64,2204
459,Maharashtra,Parbhani,"19.2667° N, 76.7833° E",29,3,701,3971,284,2228,0,200,1914,407,71,1241,0,157,68,1,334,0,0,410,447,1009,15,4340
460,Maharashtra,Pune Commr.,"18.5204° N, 73.8567° E",100,1,1279,3280,833,4769,0,698,4842,990,419,3481,2,1462,636,0,886,0,6,1284,505,2043,229,9511
461,Maharashtra,Pune Railway,"18.5204° N, 73.8567° E",1,0,4,24,9,24,0,0,798,0,19,416,2,6,4,0,1,0,0,0,0,1,2,441
462,Maharashtra,Pune Rural,"18.5833° N, 73.8333° E",105,17,2416,5444,990,5260,0,2041,4688,1035,237,3189,2,824,394,0,1346,0,0,1372,594,2703,66,10935
463,Maharashtra,Raigad,"18.0000° N, 73.0000° E",38,4,698,1187,155,1381,0,235,814,325,25,631,2,372,170,0,1018,0,0,637,128,1473,58,3344
464,Maharashtra,Ratnagiri,"17.2500° N, 73.0000° E",12,9,321,763,108,817,0,238,460,229,24,394,0,234,107,0,22,0,0,445,91,337,1390,2848
465,Maharashtra,Sangli,"16.7500° N, 74.5000° E",68,6,1110,4325,549,3432,0,716,3432,999,178,2441,2,773,341,0,1037,0,0,1445,360,2219,484,8313
466,Maharashtra,Satara,"17.5000° N, 74.0000° E",55,14,1481,3189,694,3035,0,1101,2302,654,161,1673,4,358,154,1,1285,0,0,1590,351,2831,58,7365
467,Maharashtra,Sindhudurg,"15.8333° N, 73.3333° E",9,2,200,763,144,516,0,174,280,110,9,222,2,86,36,0,582,0,0,216,42,732,11,1496
468,Maharashtra,Solapur Commr.,"17.5833° N, 75.5833° E",18,1,248,1099,211,1005,0,442,1150,375,51,829,0,335,164,1,38,0,0,308,201,437,166,2489
469,Maharashtra,Solapur Rural,"17.7500° N, 75.5833° E",72,13,1756,7277,998,4781,0,2228,4612,718,168,2881,2,507,199,2,301,0,0,1428,442,1683,50,9562
470,Maharashtra,Thane Commr.,"19.0000° N, 73.0000° E",89,8,848,5626,862,6480,0,607,5820,1622,508,4405,6,1818,738,0,1601,0,27,1374,786,3219,286,12558
471,Maharashtra,Thane Rural,"19.1667° N, 73.0000° E",21,2,547,1371,213,1465,0,396,904,277,48,658,0,186,86,0,355,0,0,361,150,712,21,2573
472,Maharashtra,Wardha,"19.4167° N, 78.2500° E",33,4,646,4285,364,2353,0,127,1184,265,33,785,0,135,54,0,43,0,0,3429,437,2983,232,6087
473,Maharashtra,Washim,"19.0000° N, 77.2500° E",22,2,495,2784,353,1590,0,385,912,171,53,598,0,69,34,0,2342,0,0,434,468,3095,1,5250
474,Maharashtra,Yavatmal,"20.0000° N, 77.5000° E",67,9,1071,4561,614,3271,0,389,2074,358,105,1322,0,220,95,0,2454,0,0,2166,853,5017,333,9500
475,Maharashtra,Pimpri Chinchwad City,"18.5500° N, 73.8500° E",85,6,1205,2792,631,3959,0,532,4292,759,477,3054,12,903,417,0,139,0,2,2244,392,1674,76,7814
476,Maharashtra,Aurangabad Railway,"19.9717° N, 75.3241° E",2,1,5,51,27,60,0,3,3682,0,42,1879,0,6,2,0,0,0,0,0,1,1,10,1934
477,Maharashtra,Mira Bhayandar Vasai Virar Commr.,"19.1167° N, 72.8333° E",52,6,628,3288,692,4154,0,575,3554,1057,335,2786,4,1541,743,0,381,0,2,962,500,1486,453,8048
478,Manipur,Bishnupur,"24.4500° N, 93.9167° E",5,0,88,42,0,79,0,24,64,3,0,38,0,6,3,0,0,0,0,46,6,29,21,159
479,Manipur,Chandel,"24.8333° N, 94.2500° E",0,0,1,0,0,5,0,3,24,0,0,12,0,2,1,0,0,0,0,0,2,2,5,23
480,Manipur,Churachandpur,"24.1667° N, 93.4167° E",2,0,13,18,8,28,3,18,34,23,0,36,0,6,3,0,1,0,0,6,7,11,9,87
481,Manipur,CID,"24.7833° N, 93.9667° E",0,0,0,0,38,19,0,3,0,0,0,0,0,26,13,0,0,0,1,0,16,17,1,51
482,Manipur,Imphal East,"24.8333° N, 94.0000° E",8,5,67,108,22,157,3,27,604,7,0,309,2,40,21,0,0,0,0,82,11,52,36,553
483,Manipur,Imphal West,"24.8333° N, 93.9833° E",5,2,105,114,70,234,21,99,818,20,4,465,0,84,35,0,0,0,0,194,45,142,18,859
484,Manipur,Senapati,"25.5833° N, 94.3333° E",1,0,9,3,0,12,0,3,4,2,0,6,0,2,1,0,0,0,0,8,3,7,3,26
485,Manipur,Tamenglong,"24.8333° N, 93.7500° E",2,0,10,0,0,12,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,1,1,11
486,Manipur,Thoubal,"24.6667° N, 94.0000° E",6,2,51,147,40,150,0,62,160,62,1,116,0,26,13,1,2,0,0,104,29,84,33,386
487,Manipur,Ukhrul,"25.3333° N, 94.3333° E",1,0,4,6,0,5,3,3,36,0,0,18,0,4,2,0,0,0,0,14,4,11,4,42
488,Manipur,Kakching,"24.5833° N, 93.9333° E",2,0,37,15,7,81,0,9,46,12,1,31,0,8,4,0,0,0,0,64,6,38,4,122
489,Manipur,Kamjong,"24.9167° N, 94.3333° E",0,0,1,3,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,2,1,6
490,Manipur,Kangpokpi,"24.9167° N, 93.6667° E",6,0,16,17,0,33,0,6,8,6,1,13,0,6,3,0,0,0,0,14,1,8,6,56
491,Manipur,Jiribam,"24.9000° N, 92.7500° E",3,0,1,6,0,12,0,6,16,1,0,9,0,4,2,0,0,0,0,2,2,3,3,27
492,Manipur,Noney,"24.7500° N, 93.7833° E",3,0,10,6,0,15,0,3,2,0,1,2,0,0,0,0,0,0,0,12,4,10,4,28
493,Manipur,Pherzawl,"24.3333° N, 93.7500° E",1,0,0,0,0,7,0,0,4,0,0,2,0,0,0,0,0,0,0,2,1,2,1,8
494,Manipur,Tengnoupal,"24.9000° N, 94.2500° E",1,0,7,6,0,15,0,9,16,0,0,8,0,13,6,0,0,0,0,8,2,6,5,40
495,Manipur,Narcotic,"24.7840° N, 93.9667° E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,Meghalaya,Garo Hills East,"25.5833° N, 90.2500° E",3,1,16,15,7,31,0,0,20,14,11,31,0,14,7,0,1,0,0,2,8,10,3,72
497,Meghalaya,Garo Hills North,"25.8333° N, 90.2500° E",4,0,13,3,2,33,0,0,24,2,5,16,0,18,9,0,0,0,0,2,3,4,16,64
