S. No,State/UT,District,Coordinates,A.Murder (Sec.302 IPC),A. Culpable Homicide not amounting to Murder (Sec.304 IPC),A. Causing Death by Negligence,A. Hurt,A. Assault on Women with Intent to Outrage her Modesty,A. Kidnapping and Abduction,B. Offences against State,C. Rioting (Sec.1470151 IPC),D. Theft (Section 379 IPC),D. Burglary (Sec.454 to 460 r/w Sec.380 IPC),D. Dacoity,D. Others,E. Counterfeiting,"E. Forgery, Cheating & Fraud",E. Offences Relating to Documents & Property Marks (Total),F. Offences relating to Elections (Sec.171-E to 171-I r/w IPC/SLL),F. Disobedience to order duly promulgated by Public Servant (Sec.188),F. Harbouring an Offender (Sec.212/216/216A IPC),F. Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),F. Rash Driving on Public way,F. Others,F. Miscellaneous,Other IPC Crimes,Total Cognizable IPC crimes
259,Jammu & Kashmir,Bandipora,"34.4236° N, 74.6658° E",4,1,79,489,86,372,0,24,74,40,1,64,0,16,8,0,0,0,0,130,11,76,0,454
260,Jammu & Kashmir,Baramulla,"34.1964° N, 74.3558° E",5,1,124,471,248,633,0,249,196,126,8,177,0,74,37,0,236,0,0,396,98,532,6,1310
261,Jammu & Kashmir,Budgam,"34.0961° N, 74.8778° E",4,0,119,295,434,757,0,15,210,198,14,220,2,68,35,0,105,0,0,298,246,500,0,1359
262,Jammu & Kashmir,Crime Jammu,"32.7285° N, 74.8687° E",0,0,0,0,0,0,0,0,0,0,0,2,0,74,32,0,0,0,0,0,0,0,0,33
263,Jammu & Kashmir,Crime Srinagar,"34.0907° N, 74.7961° E",0,0,0,0,0,0,0,0,0,0,0,4,0,123,41,0,0,0,0,0,0,0,0,43
264,Jammu & Kashmir,Doda,"33.1667° N, 75.7333° E",6,0,14,396,56,338,0,9,40,48,0,48,0,14,7,0,84,0,0,420,111,405,14,697
265,Jammu & Kashmir,Ganderbal,"34.3153° N, 74.7689° E",2,1,81,374,146,344,0,42,120,60,0,103,0,34,17,0,36,0,0,216,42,186,1,594
266,Jammu & Kashmir,Handwara,"34.3967° N, 74.6036° E",1,2,108,276,58,325,3,189,138,52,1,98,2,24,13,0,40,0,0,178,18,147,27,589
267,Jammu & Kashmir,Jammu,"32.7285° N, 74.8687° E",18,0,389,3081,212,1881,0,54,1024,554,4,844,4,222,113,0,0,0,0,1888,361,1305,688,4489
268,Jammu & Kashmir,Kathua,"32.3500° N, 75.5000° E",6,0,230,278,36,501,0,0,186,120,0,161,0,47,16,0,0,0,0,678,143,482,197,1226
269,Jammu & Kashmir,Kishtwar,"33.1667° N, 75.7333° E",4,1,19,234,32,198,0,0,18,32,0,29,0,20,10,0,15,0,0,184,49,156,46,378
270,Jammu & Kashmir,Kulgam,"33.9333° N, 74.8667° E",5,2,126,122,382,503,0,33,194,100,15,164,0,36,18,0,79,0,0,218,23,211,165,970
271,Jammu & Kashmir,Kupwara,"34.5333° N, 74.2667° E",2,3,97,192,304,565,0,249,160,84,0,124,2,26,14,0,52,0,0,266,38,223,37,925
272,Jammu & Kashmir,Poonch,"33.7667° N, 74.0833° E",8,1,117,681,152,549,6,251,78,77,1,85,0,52,23,0,376,0,0,404,223,801,2,1425
273,Jammu & Kashmir,Pulwama,"33.8500° N, 74.9167° E",3,2,79,381,108,355,0,117,144,68,6,114,0,31,15,0,106,1,0,128,30,201,1,662
